"word","word_count"
"Pythontestautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Agilescrum/Kanbandevelopmentprocess,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure","3"
"Css,Html5,Javascript,Jquery,Webdeveloper,Html","3"
"Restapi,Javascript,Integratingrestful","3"
"Html5,Sql,Docker,Elasticsearch,Security,Database,Git,Devops,Linux,Debugging,Rest,Python,Github,Os,Machinelearning,Javascript,Django","3"
"Python,Css,Javascript,Jquery,Html","3"
"Algorithms,Css,Sem,Html,Javascript","3"
"Html5,Css3,Javascript","3"
"Css,Jquery,Javascript,Git,Html,Api","3"
"Css,Html5,Html,Javascript,Jquery","3"
"Css,Mobile,Html,Api,Javascript","3"
"Css,Github,Html,Javascript","3"
"Css,Html,Webdesigning,Javascript","3"
"Javascript,Angular,Html,Css,Troubleshooting","3"
"Css,Javascript,Webdevelopment,Html","3"
"Css,Javascript,Infrastructure,Html","3"
"Css,Jsp,Jdbc,Hibernate,Ajax,Jquery,Sql,Database,Java,J2Ee,Json,Mysql,Html,Director,Xml/Xsl,Javascript,Javadeveloper,.Net,Softwaredeveloper","3"
"Algorithms,Css,Javascript,Html","3"
"Css,Html,Dhtml,Ajax,Javascript","3"
"Css,Ajax,Javascript,Database,Xml,Debugging,Html,Mysql,Mvc","3"
"Databricks,Pyspark,Sql","3"
"Css,Confirmit,Html,Javascript,Jquery","3"
".Net,Asp.Net,Javascript","3"
"Reports,Verbalcommunication,Excel,Finance,Reporting","3"
"Css,Soa,Ajax,Javascript,Jquery,Spring,Java,J2Ee,Html","3"
"React.Js,Css,Html5,Html,Javascript","3"
"Reports,Excel,Statutory,Reporting","2"
"Css,Javascript,Git,Html,Mongodb","2"
"Css,Html5,Javascript,Jquery,Softwareengineer","2"
"Financialanalysis,Reports,Mis,Erp,Excel,Finance","2"
"Pythonprogramming,Automationframework,Enterprisesoftwaredevelopment,Automationtesting,Troubleshootinganddebugging,San,Oracle,Storage,Windows,Hci,Database","2"
"Cloudoperations,Devopstools,Scripting,Debugging,Sql,Database,Linux","2"
"Spring,Rest,Springboot,Java,Linux,Hibernate,Javadeveloper","2"
"Ssrs,Ssis,Tsql,Performanceoptimization,Queryoptimization,Sqlcoding,Pl/Sql,T-Sql,Database,Softwarepackages,Sqlprogramming","2"
"Sr.Awsdevopsengineer","2"
"Python,Testautomation,Flashbootloadertesting,Serialcommunicationprotocols,Requirementsengineering,Measurement/Testingtools,Scriptinglanguages,Qualitymanagement,Agiledevelopmentprocess,Ci/Cdconcepts,Defectmanagement,Testcases,Security,Perl,Testdesign,Infrastructure","2"
"C#,Bootstrap,Jquery,Vb.Net,Java,Xml,Asp.Net,Mvc","2"
"Javascriptdeveloper,Css,Git,Html,Svn,Javascript","2"
"Sql,Databasemanagement,Datawarehousing,Dotnet,Java,Oracle,Toad,Sqldeveloper","2"
"Css,Html5,Bootstrap,Jquery,Java,Html","2"
"Python,Aws,Gcp,Linux,Unix,Unixadministration,Docker,Nosql,Database,Postgresql,Devops,Mongodb","2"
"Reports,Forecasting,Budgeting,Excel,Hedging,Finance","2"
"Asp,Net,Mvc,Javascript,Jquery,Sql,Css,Technicalleader,Informationtechnology,Jquery,Sql,Projectleader,Java,Xml,Asp.Net,Html,Mvc,Windowsazure,C#,Javascript,Writtencommunication,Leadershipskills,Softwaredeveloper,Forms","2"
"React.Js,Css,Html5,Ant,Html,Bootstrap,Javascript","2"
"Css,Odata,Java,Xml,Json,Abap","2"
"Rest,Css,Problemsolving,Graphics,Javascript,React.Js,Git,Infrastructure,Json,Html,Technicalskills","2"
"Triggers,Sql,Database,Ssrs","2"
"Oracle,Restapi,Hibernate,Javadeveloper,Spring,Springboot,Java,Linux,J2Ee,Jpa,Mysql","2"
",Netdevelopment,Sqlserver,C#/Vb,Javascript/Html,Queryoptimization,Css,Html5,Sqlserverdevelopment,Vb.Net,Jquery,Database,Asp.Net,Sqldeveloper,Visualbasic,.Netdeveloper,Visualsourcesafe,Productionsupport,Forms","2"
"Reconciliation,Excel,Audit,Mis,Legal,Accounts,Ca,Finance","2"
"Testautomation,Python,Flashbootloadertesting,Communicationprotocols,Requirementsengineering,Testcases,Security,Testingtools,Defectmanagement,Perl,Testdesign,Infrastructure,Agile","2"
"Sql,Msbi,Complexsqlqueries,Storedprocedures,Etlpackages,Datawarehousing,Datamodeling,Ssas,Mining,Ssis,Informatica","2"
"Css,Javascript,Html,Mvc,Angularjs","2"
"Orchestration,Docker,Security,Iam,Devops,Perl,Cloudservices,Python,Ruby,Infrastructure","2"
"Photoshop,Webdesigner,Css3,Flash,Illustrator","2"
"Css,C,Html5,Html,Bootstrap,Javascript","2"
"Css,Webtechnologies,Html","2"
"Devops,Cloudnative,Microservices,Serverlessarchitectures,Infrastructureascode(Iac),Sql,Database,Pythonscripting,Postgresql,Mysql,Mongodb,Nosql,Infrastructuresetup,Writtencommunication","2"
"Cloudinfrastructure,Continuousintegration,Sourcecodemanagement,Linux/Unixadministration,Automation/Configurationmanagement,Informationtechnology,Docker,Security,Devops,Linux,Vms,Python,Unixadministration,Problemsolving,Windows,Infrastructure","2"
"Bi,Datawarehousing,Datamarts,Sql,Database,Datamodeling,Etl,Oracle,Teradata,Qlikview,Businessobjects,Sqldatabase","2"
".Netsqlc#Asp.Netmvc,Softwareengineer,Windowsazure,Cloudcomputing,Crm,Writtencommunication,Applicationsupport","2"
"Css,Html5,Wordpress,Jquery,Javascript","2"
".Net,Sql,Applicationsupport,Applicationdevelopment,Troubleshooting,Seniorsoftwareengineer,Asp.Net,Mvc,Windowsazure,Cloudcomputing,Crm,C#,Writtencommunication","2"
"Nodejs,Javascript,Mongodb,Kubernetes,Docker,Amazonaws,Mysql,Expressjs,Codereview,Softwaredeveloper,Programmer","2"
